產品名稱,面積平均,面積標準差,最大-最小,產品顏色,吸取點
透白口紅座,3315.473,112.46178050853678,379.0,淺色,0
黑色口紅座,1708.703,221.3377693,650.0,深色,20
黑色口紅蓋,651.51,28.72429854,116.0,深色,20
長樣品瓶,3270.588,62.122715,179.5,淺色,20
長樣品蓋,2725.066,86.60140444,248.0,淺色,100
