產品名稱,面積平均,面積標準差,最大-最小,產品顏色,吸取點,物件橫躺高度
透白口紅座,2168.818,141.8718122,366.0,淺色,0,20.0
黑色口紅座,1708.703,221.3377693,650.0,深色,20,20.0
黑色口紅蓋,651.51,28.72429854,116.0,深色,20,
長樣品瓶,2121.879,81.59973586,244.5,淺色,20,16.0
長樣品蓋,1968.948,72.03427774567245,197.0,淺色,35,15.5
